step_id,recipe_id,step_number,step_text
64752,11749,3,粗熱が取れたら、食べやすい大きさに切ります。
64549,11749,4,器にサラダミックスを広げ、３の鶏肉を盛ります。混ぜ合わせたBをかけて完成です。
65397,11921,1,春雨はぬるま湯を入れたボウルに10分ほどつけて戻します。戻ったら水けをきり、３cmくらいの長さに切ります。
65398,11921,2,キャベツは葉の長さを半分に切ってから５mm幅の細切りにし、にらは３cmの長さに切ります。豚肉は３cm幅に切ります。
65399,11921,3,ボウルに春雨と２、調味料を入れて混ぜ合わせます。
65400,11921,4,春巻きの皮の角のひとつを手前にして、ひし形の中央よりやや下あたりに３の具材をのせます。
65401,11921,5,手前から皮の中央くらいまで２回巻きます。左右の皮を内側に折りたたみ、最後まで皮をくるくると巻きます。
65402,11921,6,皮の端を水溶き小麦粉でのり付けして止めます。皮がしっかりとくっつくまで、巻き終わりを下にしておきます。
65403,11921,7,６の表面に、刷毛でサラダ油を塗ります。
65804,11921,8,オーブントースターの天板に７を並べ、両面を3〜5分ずつ焼き色がつくまで焼きます。レタスをしいた器に盛ります。
65618,11944,1,ピーマンは縦半分に切ってからヘタと種を取り除き、縦方向の細めの乱切りにします。
65619,11944,2,ゆでたけのこは縦方向にピーマンと同じ位の幅の細切りにします。
89711,11944,3,豚もも肉は、繊維に沿って１cm幅の細切りにします。
65641,11944,4,片栗粉以外の豚肉の下味用の調味料を入れて混ぜ合わせ、最後に片栗粉を入れて揉み込みます。
65642,11944,5,フライパンにサラダ油を入れて弱火にし、豚肉を入れます。
65643,11944,6,肉の表面の色が白っぽく変わってきたらピーマンとたけのこを入れ、強火にして炒めます。
65644,11944,7,一旦火を止めて仕上げの調味料を入れ、再び中火にかけます。さっと全体をなじませて出来上がりです。
65727,11959,1,鶏むね肉は包丁で観音開きにし、下味用の調味料をまぶして10分おいておきます。
65728,11959,2,長ねぎはみじん切りにし、しょうがはすりおろします。
65729,11959,3,蒸し器にペーパータオルを敷いて１の鶏肉を入れ、中火で５分、強火で３分蒸します。
